time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-11-21T15:13:57.160Z,-27.7571,-70.6499,66.97,4.2,mwr,,136,0.402,1.39,us,us70006b10,2019-11-22T16:44:12.040Z,"53km SW of Copiapo, Chile",earthquake,6.7,2.9,0.073,18,reviewed,us,us
2019-11-21T14:11:09.765Z,26.1761,91.2295,48.09,4.2,mb,,147,0.828,1.08,us,us70006b0f,2019-11-22T15:44:32.599Z,"27km SE of Barpeta, India",earthquake,5.4,9.9,0.167,10,reviewed,us,us
2019-11-21T13:53:27.520Z,18.977,-65.843,7,2.73,md,9,304,0.71,0.2,pr,pr2019325020,2019-11-21T14:29:58.867Z,"60km N of Loiza, Puerto Rico",earthquake,3.17,3.04,0.26,9,reviewed,pr,pr
2019-11-21T12:41:43.920Z,19.0026,-66.9135,96,3.11,md,7,256,0.5705,0.38,pr,pr2019325023,2019-11-21T17:14:21.217Z,"56km NNE of Isabela, Puerto Rico",earthquake,4.4,5.39,0.16,6,reviewed,pr,pr
2019-11-21T11:47:47.340Z,18.9576,-65.8791,7,2.98,md,4,323,0.6801,0.32,pr,pr2019325021,2019-11-21T14:43:43.395Z,"58km N of Loiza, Puerto Rico",earthquake,20.18,19.53,0.1,4,reviewed,pr,pr
2019-11-21T09:50:47.320Z,17.8663,-68.3268,175,3.56,md,7,338,1.2252,0.38,pr,pr2019325018,2019-11-21T11:27:15.240Z,"64km SSE of Boca de Yuma, Dominican Republic",earthquake,7.44,3.23,0.2,7,reviewed,pr,pr
2019-11-21T09:44:56.280Z,18.9686,-65.891,11,2.7,md,6,301,0.6871,0.25,pr,pr2019325017,2019-11-21T11:11:38.833Z,"59km N of Loiza, Puerto Rico",earthquake,6.73,9.3,0.48,6,reviewed,pr,pr
2019-11-21T09:19:50.183Z,7.2595,-34.0659,10,5,mb,,152,13.129,1.01,us,us70006ax4,2019-11-21T10:05:50.040Z,Central Mid-Atlantic Ridge,earthquake,14.5,2,0.12,22,reviewed,us,us
2019-11-21T09:05:13.640Z,17.6595,-66.6415,40,2.8,md,9,251,0.3849,0.1,pr,pr2019325015,2019-11-21T10:44:11.387Z,"37km SSE of Tallaboa, Puerto Rico",earthquake,0.62,1.52,0.1,7,reviewed,pr,pr
2019-11-21T08:39:47.740Z,19.2048,-67.1001,57,3.01,md,6,257,0.9253,0.13,pr,pr2019325016,2019-11-21T10:50:37.882Z,"78km N of Isabela, Puerto Rico",earthquake,1.55,4.61,0.18,6,reviewed,pr,pr
2019-11-21T08:29:13.760Z,35.9669991,-119.9041672,8.79,2.73,md,46,147,0.2904,0.16,nc,nc73306881,2019-11-21T08:51:04.545Z,"7km SE of Kettleman City, CA",earthquake,0.36,1.34,0.17,30,automatic,nc,nc
2019-11-21T08:14:36.630Z,35.6798333,-117.5526667,7.24,2.73,ml,36,59,0.0592,0.19,ci,ci38255018,2019-11-21T14:18:02.772Z,"13km ENE of Ridgecrest, CA",earthquake,0.25,0.65,0.128,25,automatic,ci,ci
2019-11-21T07:49:39.227Z,61.2689,-150.6161,50,2.8,ml,,,,0.65,ak,ak019exm4esz,2019-11-22T05:34:32.656Z,"38km W of Anchorage, Alaska",earthquake,,0.7,,,automatic,ak,ak
2019-11-21T07:11:55.480Z,35.9546667,-119.9395,7.22,3.17,ml,55,119,0.2691,0.14,nc,nc73306866,2019-11-22T21:23:04.125Z,"6km SSE of Kettleman City, CA",earthquake,0.34,1.07,0.214,43,reviewed,nc,nc
2019-11-21T06:38:25.950Z,18.9051,-67.1821,108,3,md,5,311,0.7357,0.3,pr,pr2019325013,2019-11-21T09:10:26.209Z,"46km N of San Antonio, Puerto Rico",earthquake,6.6,6.25,0.18,5,reviewed,pr,pr
2019-11-21T05:33:23.390Z,19.0758,-65.7888,20,3.56,md,13,296,0.8215,0.25,pr,pr2019325001,2019-11-21T06:26:49.040Z,"67km N of Loiza, Puerto Rico",earthquake,1.12,22.33,0.15,10,reviewed,pr,pr
2019-11-21T05:14:31.813Z,5.1458,127.1681,74.56,4.8,mb,,111,2.479,0.65,us,us70006au5,2019-11-21T05:42:13.040Z,"173km SE of Pondaguitan, Philippines",earthquake,8.9,7.5,0.062,80,reviewed,us,us
2019-11-21T04:27:20.239Z,-18.7464,-177.7655,605.64,4.5,mb,,79,4.096,1.37,us,us70006atr,2019-11-21T04:44:17.040Z,"232km NNE of Ndoi Island, Fiji",earthquake,12.1,9.1,0.047,129,reviewed,us,us
2019-11-21T04:21:23.180Z,18.5003,-64.5933,27,3.24,md,6,347,1.3056,0.24,pr,pr2019325009,2019-11-21T09:07:50.753Z,"9km NNE of Road Town, British Virgin Islands",earthquake,5.1,19.34,0.08,4,reviewed,pr,pr
2019-11-21T03:50:39.860Z,18.7806,-68.1248,102,3.21,md,10,181,1.2022,0.24,pr,pr2019325007,2019-11-21T09:06:31.561Z,"36km NE of Punta Cana, Dominican Republic",earthquake,3.46,2.12,0.38,9,reviewed,pr,pr
2019-11-21T03:36:57.340Z,32.9435,-117.549,15.11,3.19,ml,76,138,0.2778,0.18,ci,ci38254882,2019-11-22T20:19:35.445Z,"26km WSW of Encinitas, CA",earthquake,0.24,0.41,0.152,166,reviewed,ci,ci
2019-11-21T03:18:51.610Z,18.7345,-65.2723,54,3.02,md,10,328,0.8267,0.32,pr,pr2019325004,2019-11-21T09:04:41.745Z,"47km N of Culebra, Puerto Rico",earthquake,3.96,5.9,0.36,9,reviewed,pr,pr
